Sno,Author Names, Title of the Paper,Year of Published,Dataset Used,Methodology Used,Limitation of the Paper
1,Nouha Arfaoui,Enhancing Machine Learning Algorithms for Imbalanced Data—A Case Study: Spam Detection,2026,"SpamAssassin Public Corpus (Kaggle): easy_ham 2,551; hard_ham 250; spam_2 1,397. easy_ham + hard_ham are combined as ham; spam_2 is spam.","Text preprocessing with tokenization, stop-word removal and lemmatization; stratified 80/20 split; CountVectorizer and TF-IDF; six balancing methods (SMOTE, BorderlineSMOTE, RandomUnderSampler, TomekLinks, SMOTEENN, SMOTETomek); classifiers include MultinomialNB, LinearSVC, KNN, Decision Tree, Logistic Regression, Random Forest and Gradient Boosting; GridSearchCV and RepeatedStratifiedKFold used for robust evaluation.","No dedicated limitations section is provided. The experimental scope is limited to one SpamAssassin corpus and accuracy is the primary evaluation metric, so cross-corpus generalization is not demonstrated."
2,Worawit Kitikusoun; Nawaporn Wisitpongphan,Adaptive Semi-Personalized Email Classification Model (ASPEC) with Incremental Learning,2026,"Anonymized real corporate email-server logs from a large Thai financial-services enterprise: 625,069 emails across 3 months and 9,788 employees in 12 functional departments. 423,043 emails used for training/testing; 202,026 for incremental-learning evaluation.","ASPEC uses privacy-preserving email metadata rather than body content. Classical ML models (Logistic Regression, Decision Tree, Random Forest) are combined with adaptive feature selection and group-level model selection based on occupational and behavioral context. Models are periodically updated using batch-incremental learning to adapt to changing communication patterns.","No direct comparison with transformer/deep-learning models; body content is excluded because only metadata is used; current grouping may need extension for very large enterprises; evaluation is from a single organization and limited time period, so cross-organization generalizability remains unvalidated."
3,Zhiyong He; Chang Liu; Boyang Hu; Duo Jia,SpamLLM: Leveraging Large Language Models for Robust Spam Email Classification,2026,"Four public spam benchmarks: SpamAssassin, LingSpam, SMSSpamCollection and CSDMC2010.","Multimodal SpamLLM framework combines structured email metadata, body statistics, raw body text and attachment metadata. Numerical features are normalized, categorical features frequency-encoded, and text is represented with TF-IDF plus deep semantic features from a frozen LLaMA-3.1-8B backbone. Fused representations are processed by a lightweight classification head; training uses Adam with the LLM frozen, plus efficiency techniques such as FP16 and precomputed embeddings.","Evaluated on four relatively small/static benchmarks; adversarial spam, multilingual spam and cross-domain generalization were not empirically validated; freezing the backbone limits domain adaptation; the 8B-parameter model still has substantial memory and inference-latency requirements."
4,Sahar Hamad Ahmed; Hadeel M. Saleh; Sameer Alani,Enhanced Email Spam Filtering Using Spectral Clustering and Deep Neural Networks,2026,Enron Email Dataset; SpamAssassin Dataset; UCI Mail Spam Dataset.,"Proposes SCDNN, combining spectral clustering with deep neural networks. Spectral clustering partitions the email corpus into neighborhood/centroid-based groups, then a DNN performs spam classification using distance/likelihood information. The approach is compared with backpropagation neural networks, SVM, Random Forest, Bayesian methods and other standard classifiers using accuracy, precision, recall and F1-score.","The authors state that further investigation is required for complex deployment scenarios such as cloud computing and real-time systems, and that the method still needs optimization for big-data settings."
5,Dharmaraj R. Patil,Real-time Spam Email Filtering with Stacking and Majority Voting Ensembles,2026,Kaggle Email Spam Dataset.,"NLP preprocessing removes HTML tags, special characters, URLs and stopwords and applies lemmatization. Text is converted using TF-IDF and CountVectorizer. Base classifiers are Logistic Regression, Decision Tree, SVM and Stochastic Gradient Descent; their predictions are combined using stacking and majority-voting ensembles. Evaluation uses accuracy, precision, recall, F-measure, FPR and FNR.","Performance depends strongly on training-data quality and diversity; stacking/voting add computational overhead; large-scale deployment introduces scalability challenges; static training data can become outdated as spam evolves; surface-level features can miss nuanced, obfuscated or semantically complex spam."
6,Abdulhanan Sharafat; Samet Aymaz; Cemal Köse,A Hybrid CNN-BiGRU-Attention Architecture for Enhanced Spam Email Classification,2026,"TREC 2007 Public Spam Corpus (75,419); Enron-Spam (33,716); Spam-Assassin (5,796); Ling-Spam (2,893).","Email headers are removed and body text is normalized; URLs, email addresses and numbers are replaced with placeholders; text is lowercased and tokenized with a 10,000-word vocabulary, padded to 250 tokens, and represented with pretrained GloVe embeddings. The hybrid architecture combines CNN for local lexical/n-gram features, BiGRU for bidirectional long-range dependencies and an attention mechanism for salient tokens. Evaluation includes stratified holdout, five-fold cross-validation and external cross-dataset validation.","Performance degrades under domain shift in cross-dataset testing; robust deployment would require more diverse multi-source corpora, domain adaptation or periodic retraining. Public labeled spam corpora are largely historical because of privacy constraints and may not reflect modern spam. Attention weights are not treated as post-hoc explanations."
7,Mahmoud E. Ali; Anjali Diwan; Rajendrasinh Jadeja,Binary Spam Detection Using GRPO and LoRA on Qwen 2.5-3B-Instruct,2026,"SpamClassify (5,572); SpamDetection (10,900); LingSpam (2,893); SpamAssassin (10,749).","Fine-tunes Qwen 2.5-3B-Instruct for spam/ham classification using 4-bit quantization, LoRA and Group Relative Policy Optimization (GRPO). Datasets are standardized into instruction prompts with stratified train/test splits. Reward functions strongly reward correct classification and single-word outputs while penalizing wrong or verbose responses; GRPO uses grouped samples, reward scoring, relative advantage estimation and policy updates.","The study is limited to binary spam classification; multilingual, domain-specific, multiclass and multilabel settings remain untested. The reward design intentionally sacrifices explanatory responses in favor of one-word labels, and future work is needed across other model architectures and domains."
8,Shruti Raju Mahitkar,Explainable AI-Based Spam Email Classification System,2026 (PDF metadata; publication year not stated in article text),Publicly available spam datasets plus user-submitted emails; the paper does not identify exact dataset names.,"Email text is cleaned by removing HTML/noise, tokenization, stop-word removal and stemming or lemmatization. Bag of Words and TF-IDF are used for feature extraction; classifiers discussed include Naive Bayes, Logistic Regression and SVM. The proposed system emphasizes TF-IDF + Logistic Regression with SHAP-based word-level explanations and a dashboard for confidence scores and explanations; performance is evaluated with accuracy, precision, recall and F1-score.","Accuracy depends on training-data size, quality and diversity; false positives and false negatives remain possible; evolving/obfuscated/image-based spam can reduce effectiveness; frequent retraining increases maintenance cost; multilingual and mixed-language emails are challenging; explainability and privacy remain concerns."
9,Maram Bani Younes; Ahmad Ababneh,Machine Learning Based Spam Detection in Digital Communication Systems: A Comparative Analysis,2026,"Nine benchmarks across three platforms: Enron (28,063), TREC (83,446), SpamAssassin (6,048), Ling-Spam (2,859), UCI SMS (5,169), Nigara SMS (5,171), Kaggle SMS (10,286), Twitter (5,169) and YouTube (350).","Uses public benchmark datasets for email, SMS and social media. Cleaning removes missing/duplicate records, normalizes text, removes punctuation/symbols and stopwords, and applies SMOTE to imbalanced training data. TF-IDF (top 500 features) is the primary representation. Six shallow ML classifiers—Naive Bayes, SVM, Random Forest, Decision Tree, KNN and Logistic Regression—are compared within-domain and across unseen datasets; additional experiments assess transformer-based sentence embeddings (DeBERTa).","Strong within-domain results degrade substantially on unseen/cross-domain datasets because of dataset and lexical distribution shifts. All datasets are English, limiting multilingual generalization. Individual models also have specific weaknesses such as RF overfitting, SVM computational cost and KNN weakness in high-dimensional spaces."
10,Tiago A. Almeida; José María Gómez Hidalgo; Akebo Yamakami,Contributions to the Study of SMS Spam Filtering: New Collection and Results,2011,"SMS Spam Collection: approximately 5,574 English SMS messages labeled ham/spam (about 4,827 ham and 747 spam).","Introduces a public SMS spam corpus and evaluates established content-based classifiers. Multiple tokenization schemes are tested with linear SVM, several Naive Bayes variants, KNN, C4.5, boosted classifiers, PART and MDL. Performance is compared using Spam Caught, Blocked Hams, Accuracy and Matthews Correlation Coefficient; linear SVM provides the strongest baseline.","No dedicated limitation section is stated. The study is based on one relatively small English SMS corpus, so multilingual, temporal concept-drift and cross-corpus generalization are not evaluated."
